,adult,budget,id,imdb_id,overview,popularity,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count,original_language
11,FALSE,0,12110,tt0112896,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,22/12/1995,0,88,Released,,Dracula: Dead and Loving It,FALSE,5.7,210,en
12,FALSE,0,21032,tt0112453,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",12.140733,22/12/1995,11348324,78,Released,Part Dog. Part Wolf. All Hero.,Balto,FALSE,7.1,423,en
13,FALSE,44000000,10858,tt0113987,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",5.092,22/12/1995,13681765,192,Released,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,FALSE,7.1,72,en
14,FALSE,98000000,1408,tt0112760,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,22/12/1995,10017322,119,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,FALSE,5.7,137,en
15,FALSE,52000000,524,tt0112641,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,22/11/1995,116112375,178,Released,No one stays at the top forever.,Casino,FALSE,7.8,1343,en
16,FALSE,16500000,4584,tt0114388,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,13/12/1995,135000000,136,Released,Lose your heart and come to your senses.,Sense and Sensibility,FALSE,7.2,364,en
17,FALSE,4000000,5,tt0113101,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,09/12/1995,4300000,98,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,FALSE,6.5,539,en
18,FALSE,30000000,9273,tt0112281,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,10/11/1995,212385533,90,Released,New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,FALSE,6.1,1128,en
19,FALSE,60000000,11517,tt0113845,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,21/11/1995,35431113,103,Released,"Get on, or GET OUT THE WAY!",Money Train,FALSE,5.4,224,en
20,FALSE,30250000,8012,tt0113161,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,20/10/1995,115101622,105,Released,"The mob is tough, but it’s nothing like show business.",Get Shorty,FALSE,6.4,305,en
21,FALSE,0,1710,tt0112722,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,10.701801,27/10/1995,0,124,Released,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,FALSE,6.5,199,en
22,FALSE,50000000,9691,tt0112401,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,06/10/1995,30303072,132,Released,"In the shadows of life, In the business of death, One man found a reason to live...",Assassins,FALSE,6,394,en
23,FALSE,0,12665,tt0114168,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",12.133094,27/10/1995,0,111,Released,An extraordinary encounter with another human being.,Powder,FALSE,6.3,143,en
24,FALSE,3600000,451,tt0113627,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,27/10/1995,49800000,112,Released,I Love You... The Way You Are.,Leaving Las Vegas,FALSE,7.1,365,en
25,FALSE,0,16420,tt0114057,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1.845899,15/12/1995,0,123,Released,"Envy, greed, jealousy and love.",Othello,FALSE,7,33,en
26,FALSE,12000000,9263,tt0114011,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,20/10/1995,27400000,100,Released,In every woman there is the girl she left behind.,Now and Then,FALSE,6.6,91,en
27,FALSE,0,17015,tt0114117,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",2.228434,27/09/1995,0,104,Released,,Persuasion,FALSE,7.4,36,en
28,FALSE,18000000,902,tt0112682,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,16/05/1995,1738611,108,Released,Where happily ever after is just a dream.,The City of Lost Children,FALSE,7.6,308,fr
29,FALSE,0,37557,tt0115012,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,1.100915,30/04/1995,0,108,Released,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,FALSE,6.5,17,zh
30,FALSE,0,9909,tt0112792,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,11/08/1995,180000000,99,Released,She broke the rules... and changed their lives.,Dangerous Minds,FALSE,6.4,249,en
31,FALSE,29500000,63,tt0114746,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,29/12/1995,168840000,129,Released,The future is history.,Twelve Monkeys,FALSE,7.4,2470,en
32,FALSE,0,78802,tt0114952,,0.745542,18/09/1996,0,50,Released,,Wings of Courage,FALSE,6.8,4,fr
33,FALSE,30000000,9598,tt0112431,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,18/07/1995,254134910,89,Released,A little pig goes a long way.,Babe,FALSE,6,756,en
34,FALSE,0,47018,tt0112637,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.",1.493361,08/11/1995,0,121,Released,A Love so Unusual it has to be True,Carrington,FALSE,6.4,16,en
35,FALSE,11000000,687,tt0112818,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,29/12/1995,39363635,122,Released,,Dead Man Walking,FALSE,7.3,350,en
36,FALSE,0,139405,tt0112286,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.114469,20/10/1995,0,51,Released,,Across the Sea of Time,FALSE,3.5,2,en
37,FALSE,0,33689,tt0113442,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.777735,17/11/1995,0,101,Released,Two identical strangers. Two different worlds. One perfect match.,It Takes Two,FALSE,6.1,149,en
38,FALSE,12000000,9603,tt0112697,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.882383,19/07/1995,0,97,Released,Sex. Clothes. Popularity. Is there a problem here?,Clueless,FALSE,6.9,828,en
39,FALSE,0,34615,tt0112749,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.894647,15/12/1995,676525,106,Released,,"Cry, the Beloved Country",FALSE,6.7,13,en
40,FALSE,0,31174,tt0114279,Shakespeare's Play transplanted into a 1930s setting.,4.561387,29/12/1995,0,104,Released,"I can smile, and murder while I smile",Richard III,FALSE,6.9,50,en
41,FALSE,10000000,11443,tt0112819,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",9.87957,06/10/1995,0,119,Released,"In this daring heist, the only color that counts is green",Dead Presidents,FALSE,6.6,80,en
42,FALSE,19000000,35196,tt0114272,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",10.979269,29/12/1995,0,117,Released,,Restoration,FALSE,6.3,30,en
43,FALSE,18000000,9312,tt0113855,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,18/08/1995,122195920,101,Released,Nothing In This World Has Prepared You For This.,Mortal Kombat,FALSE,5.4,452,en
44,FALSE,20000000,577,tt0114681,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,20/05/1995,21284514,106,Released,All she wanted was a little attention.,To Die For,FALSE,6.7,177,en
45,FALSE,10000000,11861,tt0113347,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,06/10/1995,23574130,116,Released,There's beauty in the patterns of life.,How To Make An American Quilt,FALSE,6.5,38,en
46,FALSE,33000000,807,tt0114369,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,22/09/1995,327311859,127,Released,Seven deadly sins. Seven ways to die.,Se7en,FALSE,8.1,5915,en
47,FALSE,55000000,10530,tt0114148,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,14/06/1995,346079773,81,Released,An American legend comes to life.,Pocahontas,FALSE,6.7,1509,en
48,FALSE,0,8391,tt0114916,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.",3.302524,05/05/1995,0,96,Released,,When Night Is Falling,FALSE,5.9,10,en
49,FALSE,6000000,629,tt0114814,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,19/07/1995,23341568,106,Released,Five Criminals. One Line Up. No Coincidence.,The Usual Suspects,FALSE,8.1,3334,en
50,FALSE,0,117164,tt0109950,"Detective - turned - bodyguard Cynthia McKay (Cynthia Rothrock) is hired by a psychotic icy seductress, Nina Lindell (Lydie Denier), the same woman who killed Mckay's lover months earlier.  With vendetta in her heart McKay accompanies the flamboyantly playful womanizer through the glamourous world of the super-rich as his protector.  In a unique role reversal, it is the woman protecting the man from another woman, erupting into a deadly triangle of passion, suspense and action.",0.595949,22/11/1994,0,93,Released,She's no angel of mercy.,Guardian Angel,FALSE,6.3,3,en
51,FALSE,15000000,11448,tt0113819,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,13/09/1995,6700000,95,Released,,Mighty Aphrodite,FALSE,6.7,145,en
52,FALSE,0,49133,tt0110299,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1.361286,01/01/1994,0,116,Released,,Lamerica,FALSE,7.7,11,it
53,FALSE,0,26441,tt0112499,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",5.982764,29/09/1995,0,100,Released,The biggest kick of the year!,The Big Green,FALSE,5.2,41,en
54,FALSE,0,97406,tt0113158,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",4.093443,19/05/1995,0,115,Released,The toughest act to follow was their dreams.,Georgia,FALSE,6.1,15,en
55,FALSE,0,124057,tt0113541,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.",0.307075,08/07/1997,0,89,Released,,Kids of the Round Table,FALSE,3,1,en
56,FALSE,0,9089,tt0113321,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8.416802,02/11/1995,17519169,103,Released,We'll do it every year..until we get it right,Home for the Holidays,FALSE,6.3,39,en
57,FALSE,0,11010,tt0110877,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,10.168437,22/09/1994,0,108,Released,,The Postman,FALSE,7.6,181,it
58,FALSE,0,99040,tt0112714,"The year is 1952, in Quebec City. Rachel (16), unmarried and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the confessional. In the present year of 1989, Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.",0.120789,29/09/1995,0,100,Released,,The Confessional,FALSE,6.5,2,fr
59,FALSE,45000000,11359,tt0113419,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,10.673296,14/07/1995,0,96,Released,,The Indian in the Cupboard,FALSE,5.9,136,en
60,FALSE,20000000,17182,tt0116260,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",4.733526,12/01/1996,0,101,Released,What do you do when justice fails?,Eye for an Eye,FALSE,5.8,65,en
61,FALSE,0,2054,tt0113862,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,29/12/1995,106269971,137,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,FALSE,6.9,115,en
62,FALSE,0,10607,tt0116126,"When Ashtray (Shawn Wayans) moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog (Marlon Wayans), who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",11.700115,12/01/1996,0,89,Released,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,FALSE,6.2,192,en
63,FALSE,0,19760,tt0118002,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",2.174487,12/01/1996,0,96,Released,"A new comedy about love, laughter, and larceny",Two If by Sea,FALSE,4.5,14,en
64,FALSE,15000000,9536,tt0115683,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",6.387469,12/01/1996,0,88,Released,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,Bio-Dome,FALSE,4.4,110,en
65,FALSE,0,11525,tt0116839,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2.49535,12/01/1996,2409225,92,Released,"God made him simple. Science made him a god. Now, he wants revenge.",Lawnmower Man 2: Beyond Cyberspace,FALSE,2.8,32,en
66,FALSE,0,40628,tt0114753,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.",4.046208,22/10/1995,0,85,Released,You're never too old to believe in a dream. Or too young to make one come true!,Two Bits,FALSE,5.4,11,en
67,FALSE,0,4482,tt0113149,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",2.518051,08/02/1995,0,95,Released,,French Twist,FALSE,6,43,fr
68,FALSE,3500000,10634,tt0113118,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,26/04/1995,28215918,91,Released,A lot can go down between thursday and saturday...,Friday,FALSE,7,513,en
69,FALSE,19000000,755,tt0116367,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,19/01/1996,25836616,108,Released,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,FALSE,6.9,1644,en
70,FALSE,50000000,11859,tt0113010,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",5.912223,03/11/1995,11534477,91,Released,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,Fair Game,FALSE,4.1,54,en
71,FALSE,0,28387,tt0113537,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",3.367276,06/10/1995,718490,96,Released,Anxiety loves company.,Kicking and Screaming,FALSE,7,36,en
72,FALSE,0,48750,tt0113828,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",1.479446,22/03/1995,0,175,Released,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",Les Miserables,FALSE,6.6,8,fr
73,FALSE,0,20927,tt0115644,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",10.412194,26/01/1996,19030691,87,Released,He gave her flowers. She gave him a chance.,Bed of Roses,FALSE,5.1,27,en
74,FALSE,15000000,36929,tt0115676,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,26/01/1996,2042530,90,Released,A comedy for the kid in all of us.,Big Bully,FALSE,3.9,16,en
75,FALSE,20000000,9102,tt0114367,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,08/09/1995,5781885,108,Released,The last scream you hear will be your own.,Screamers,FALSE,6.1,154,en
